building_id,meter,site_id,primary_use,square_feet,year_built,floor_count,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed,unixtimestamp,m0,m1,m2,m3
0,0,0,Education,7432,2008.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
1,0,0,Education,2720,2004.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
2,0,0,Education,5376,1991.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
3,0,0,Education,23685,2002.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
4,0,0,Education,116607,1975.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
5,0,0,Education,8000,2000.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
6,0,0,Lodging/residential,27926,1981.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
7,0,0,Education,121074,1989.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
8,0,0,Education,60809,2003.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
9,0,0,Office,27000,2010.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
10,0,0,Entertainment/public assembly,370773,1991.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
11,0,0,Education,49073,1968.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
12,0,0,Lodging/residential,37100,1999.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
13,0,0,Education,99380,2000.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
14,0,0,Education,86250,2013.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
15,0,0,Office,83957,1974.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
16,0,0,Education,54644,1996.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
17,0,0,Office,15250,1980.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
18,0,0,Education,111891,1996.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
19,0,0,Office,18717,2004.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
20,0,0,Education,110272,1977.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
21,0,0,Office,7043,1990.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
22,0,0,Education,3569,1996.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
23,0,0,Education,130885,1985.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
24,0,0,Education,105545,2001.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
25,0,0,Office,103286,1969.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
26,0,0,Office,26953,2005.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
27,0,0,Lodging/residential,59200,1999.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
28,0,0,Office,52957,2016.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
30,0,0,Education,93897,1999.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
31,0,0,Education,61904,2001.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
32,0,0,Office,48392,2005.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
33,0,0,Lodging/residential,38686,2002.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
34,0,0,Lodging/residential,42731,2002.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
35,0,0,Lodging/residential,41617,2002.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
36,0,0,Lodging/residential,53130,2002.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
37,0,0,Lodging/residential,53130,2002.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
38,0,0,Office,12769,2013.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
39,0,0,Office,64619,1969.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
40,0,0,Entertainment/public assembly,26944,2001.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
41,0,0,Office,93860,1968.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
42,0,0,Other,226506,1968.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
43,0,0,Retail,59071,1980.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
44,0,0,Retail,283,1985.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
45,0,0,Retail,15304,2016.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
46,0,0,Retail,9045,2016.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,53,0,0,0
47,0,0,Retail,31666,2008.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
49,0,0,Lodging/residential,24456,1968.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
50,0,0,Other,4698,1981.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
51,0,0,Parking,387638,2014.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
52,0,0,Education,106523,1970.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
53,0,0,Office,87742,1971.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
54,0,0,Education,7867,2011.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
55,0,0,Office,16726,2011.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
56,0,0,Lodging/residential,60088,2013.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
57,0,0,Lodging/residential,65359,2013.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
58,0,0,Lodging/residential,83379,2013.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
59,0,0,Entertainment/public assembly,81337,2005.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400,0,0,0,0
