building_id,meter,meter_reading,site_id,primary_use,square_feet,year_built,floor_count,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed,unixtimestamp
0,0,0.0,0,Education,7432,2008.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
1,0,0.0,0,Education,2720,2004.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
2,0,0.0,0,Education,5376,1991.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
3,0,0.0,0,Education,23685,2002.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
4,0,0.0,0,Education,116607,1975.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
5,0,0.0,0,Education,8000,2000.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
6,0,0.0,0,Lodging/residential,27926,1981.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
7,0,0.0,0,Education,121074,1989.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
8,0,0.0,0,Education,60809,2003.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
9,0,0.0,0,Office,27000,2010.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
10,0,0.0,0,Entertainment/public assembly,370773,1991.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
11,0,0.0,0,Education,49073,1968.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
12,0,0.0,0,Lodging/residential,37100,1999.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
13,0,0.0,0,Education,99380,2000.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
14,0,0.0,0,Education,86250,2013.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
15,0,0.0,0,Office,83957,1974.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
16,0,0.0,0,Education,54644,1996.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
17,0,0.0,0,Office,15250,1980.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
18,0,0.0,0,Education,111891,1996.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
19,0,0.0,0,Office,18717,2004.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
20,0,0.0,0,Education,110272,1977.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
21,0,0.0,0,Office,7043,1990.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
22,0,0.0,0,Education,3569,1996.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
23,0,0.0,0,Education,130885,1985.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
24,0,0.0,0,Education,105545,2001.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
25,0,0.0,0,Office,103286,1969.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
26,0,0.0,0,Office,26953,2005.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
27,0,0.0,0,Lodging/residential,59200,1999.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
28,0,0.0,0,Office,52957,2016.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
30,0,0.0,0,Education,93897,1999.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
31,0,0.0,0,Education,61904,2001.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
32,0,0.0,0,Office,48392,2005.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
33,0,0.0,0,Lodging/residential,38686,2002.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
34,0,0.0,0,Lodging/residential,42731,2002.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
35,0,0.0,0,Lodging/residential,41617,2002.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
36,0,0.0,0,Lodging/residential,53130,2002.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
37,0,0.0,0,Lodging/residential,53130,2002.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
38,0,0.0,0,Office,12769,2013.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
39,0,0.0,0,Office,64619,1969.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
40,0,0.0,0,Entertainment/public assembly,26944,2001.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
41,0,0.0,0,Office,93860,1968.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
42,0,0.0,0,Other,226506,1968.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
43,0,0.0,0,Retail,59071,1980.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
44,0,0.0,0,Retail,283,1985.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
45,0,0.0,0,Retail,15304,2016.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
46,0,53.2397,0,Retail,9045,2016.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
47,0,0.0,0,Retail,31666,2008.0,,25.0,6.0,20.0,,1019.7,0.0,0.0,1451606400
